kode_plat;provinsi;kode_akhir_awal;wilayah
R;Karesidenan Banyumas (Jawa Tengah);*D/*I/*M/*O/*W/*Y;Kabupaten Banjarnegara
;;;
AA;Karesidenan Kedu (Jawa Tengah);*A/*H/*S/*U;Kota Magelang
AA;Karesidenan Kedu (Jawa Tengah);*B/*G/*K/*O/*T;Kabupaten Magelang
AA;Karesidenan Kedu (Jawa Tengah);*C/*L/*Q/*V;Kabupaten Purworejo
AA;Karesidenan Kedu (Jawa Tengah);*D/*J/*M/*W;Kabupaten Kebumen
AA;Karesidenan Kedu (Jawa Tengah);*E/*N/*Y;Kabupaten Temanggung
AA;Karesidenan Kedu (Jawa Tengah);*F/*P/*Z;Kabupaten Wonosobo
;;;
AB;DI Yogyakarta;*A/*F/*H/*I/*S;Kota Yogyakarta
AB;DI Yogyakarta;*B/*G/*J/*K/*T;Kabupaten Bantul
AB;DI Yogyakarta;*C/*L/*P/*V;Kabupaten Kulon Progo
AB;DI Yogyakarta;*D/*M/*W;Kabupaten Gunung Kidul
AB;DI Yogyakarta;*E/*N/*Q/*U/*Y/*Z;Kabupaten Sleman
;;;
AD;Solo Raya (Jawa Tengah);**A/*H/*S/*U;Kota Surakarta
AD;Solo Raya (Jawa Tengah);**B/*K/*O/*T;Kabupaten Sukoharjo
AD;Solo Raya (Jawa Tengah);**C/*L/*J/*Q/*V;Kabupaten Klaten
AD;Solo Raya (Jawa Tengah);**D/*M/*W;Kabupaten Boyolali
AD;Solo Raya (Jawa Tengah);**E/*N/*Y;Kabupaten Sragen
AD;Solo Raya (Jawa Tengah);**F/*P/*Z;Kabupaten Karanganyar
AD;Solo Raya (Jawa Tengah);**G/*I/*R;Kabupaten Wonogiri
L;Surabaya (Jawa Timur);-;Surabaya
M;Madura (Jawa Timur);A*/B*/C*/D*/E*/F*/G*;Kabupaten Pamekasan
M;Madura (Jawa Timur);H*/I*/J*/K*/L*/M*/N*;Kabupaten Bangkalan
M;Madura (Jawa Timur);O*/P*/Q*/R*/S*/T*;Kabupaten Sampang
M;Madura (Jawa Timur);U*/V*/W*/X*/Y*/Z*;Kabupaten Sumenep
;;;
N;Karesidenan Malang (Jawa Timur);A**/B*/C*/E**;Kota Malang
N;Karesidenan Malang (Jawa Timur);D**/F*/G*/H*/I*/J*;Kabupaten Malang
N;Karesidenan Malang (Jawa Timur);K**/L*;Kota Batu
N;Karesidenan Malang (Jawa Timur);M**/N*/P*;Kabupaten Probolinggo
N;Karesidenan Malang (Jawa Timur);Q**/R*/S*;Kota Probolinggo
N;Karesidenan Malang (Jawa Timur);O*/T**/W*;Kabupaten Pasuruan
N;Karesidenan Malang (Jawa Timur);V**/X*;Kota Pasuruan
N;Karesidenan Malang (Jawa Timur);U**/Y*/Z*;Kabupaten Lumajang
;;;
P;Karesidenan Besuki (Jawa Timur);A*/B*/C*/D*;Kabupaten Bondowoso
P;Karesidenan Besuki (Jawa Timur);E*/F*/G*/H*/I*/J*;Kabupaten Situbondo
P;Karesidenan Besuki (Jawa Timur);K*/L*/M*/N*/O*;Kabupaten Jember
P;Karesidenan Besuki (Jawa Timur);P*/Q*/R*/S*/T*;Kabupaten Jember
P;Karesidenan Besuki (Jawa Timur);U*/V*/W*/X*/Y*/Z*;Kabupaten Banyuwangi
;;;
S;Karesidenan Bojonegoro (Jawa Timur);A*/B*/C*/D*;Kabupaten Bojonegoro
S;Karesidenan Bojonegoro (Jawa Timur);E*/F*/G*/H*;Kabupaten Tuban
S;Karesidenan Bojonegoro (Jawa Timur);I*/J*/K*/L*;Kabupaten Lamongan
S;Karesidenan Bojonegoro (Jawa Timur);M*/N*/O*/P*/Q*/R*;Kabupaten Mojokerto
S;Karesidenan Bojonegoro (Jawa Timur);S*/T*/U*/V*;Kota Mojokerto
S;Karesidenan Bojonegoro (Jawa Timur);W*/X*/Y*/Z*;Kabupaten Jombang
;;;
W;Jawa Timur;A*/B*/C*/D*/E*/F*;Kabupaten Gresik
W;Jawa Timur;G*/H*/I*/J*/K*/L*/M*;Kabupaten Gresik
W;Jawa Timur;N*/O*/P*/Q*/R*/S*;Kabupaten Sidoarjo
W;Jawa Timur;T*/U*/V*/W*/X*/Y*/Z*;Kabupaten Sidoarjo
;;;
AE;Karesidenan Madiun (Jawa Timur);A*/B*/C*;Kota Madiun
AE;Karesidenan Madiun (Jawa Timur);D*/E*/F*/G*;Kabupaten Madiun
AE;Karesidenan Madiun (Jawa Timur);H*/I*/J*/K*/L*;Kabupaten Ngawi
AE;Karesidenan Madiun (Jawa Timur);M*/N*/O*/P*/Q*/R*;Kabupaten Magetan
AE;Karesidenan Madiun (Jawa Timur);S*/T*/U*/V*;Kabupaten Ponorogo
AE;Karesidenan Madiun (Jawa Timur);W*/X*/Y*/Z*;Kabupaten Pacitan
;;;
AG;Karesidenan Kediri (Jawa Timur);A**/B*/C*;Kota Kediri
AG;Karesidenan Kediri (Jawa Timur);D**/E*/F*/G*/H*/J*;Kabupaten Kediri
AG;Karesidenan Kediri (Jawa Timur);I*/K**/L*/M*/N*;Kabupaten Blitar
AG;Karesidenan Kediri (Jawa Timur);O*/R**/S*/T*;Kabupaten Tulungagung
AG;Karesidenan Kediri (Jawa Timur);P**/Q*;Kota Blitar
AG;Karesidenan Kediri (Jawa Timur);U**/V*/W*/X*;Kabupaten Nganjuk
AG;Karesidenan Kediri (Jawa Timur);Y**/Z*;Kabupaten Trenggalek
;;;
DH;Pulau Timor (Nusa Tenggara Timur);A*/B*/C*;Kabupaten/Kota Kupang
DH;Pulau Timor (Nusa Tenggara Timur);D*;Kabupaten Timor Tengah Utara
DH;Pulau Timor (Nusa Tenggara Timur);E*;Kabupaten Timor Tengah Selatan
DH;Pulau Timor (Nusa Tenggara Timur);F*;Kabupaten Alor
DH;Pulau Timor (Nusa Tenggara Timur);G*;Kabupaten Belu
DH;Pulau Timor (Nusa Tenggara Timur);U*;Kabupaten Rote Ndao
;;;
DK;Bali;A**/B*/C*/D*;Kota Denpasar
DK;Bali;E*/I*/Q*/X*;Kota Denpasar
DK;Bali;F**/J*/O*;Kabupaten Badung
DK;Bali;G**/H*;Kabupaten Tabanan
DK;Bali;K**/L*;Kabupaten Gianyar
DK;Bali;M**/N*;Kabupaten Klungkung
DK;Bali;P**/R*;Kabupaten Bangli
DK;Bali;S**/T*;Kabupaten Karangasem
DK;Bali;U**/V*;Kabupaten Buleleng
DK;Bali;W**/Z*;Kabupaten Jembrana
;;;
DR;Pulau Lombok (Nusa Tenggara Barat);A*/B*/C*/D*/E*;Kota Mataram
DR;Pulau Lombok (Nusa Tenggara Barat);H*/J*/K*;Kabupaten Lombok Barat
DR;Pulau Lombok (Nusa Tenggara Barat);L*;Kabupaten Lombok Timur
DR;Pulau Lombok (Nusa Tenggara Barat);S*;Kabupaten Lombok Tengah
;;;
EA;Pulau Sumbawa (Nusa Tenggara Barat);A*;Kabupaten Sumbawa
EA;Pulau Sumbawa (Nusa Tenggara Barat);H*;Kabupaten Sumbawa Barat
EA;Pulau Sumbawa (Nusa Tenggara Barat);R*;Kabupaten Dompu
EA;Pulau Sumbawa (Nusa Tenggara Barat);S*;Kota Bima
EA;Pulau Sumbawa (Nusa Tenggara Barat);X*/Y*;Kabupaten Bima
;;;
EB;Pulau Flores (Nusa Tenggara Timur);A*;Kabupaten Ende
EB;Pulau Flores (Nusa Tenggara Timur);B*;Kabupaten Sikka
EB;Pulau Flores (Nusa Tenggara Timur);C*;Kabupaten Ngada
EB;Pulau Flores (Nusa Tenggara Timur);D*;Kabupaten Flores Timur
EB;Pulau Flores (Nusa Tenggara Timur);E*;Kabupaten Manggarai Barat
EB;Pulau Flores (Nusa Tenggara Timur);F*;Kabupaten Lembata
EB;Pulau Flores (Nusa Tenggara Timur);G*;Kabupaten Manggarai
;;;
ED;Pulau Sumba (Nusa Tenggara Timur);A*;Kabupaten Sumba Barat
ED;Pulau Sumba (Nusa Tenggara Timur);B*;Kabupaten Sumba Timur
;;;
DA;Kalimantan Selatan;A**/C*/I*/J*/N*;Kota Banjarmasin
DA;Kalimantan Selatan;O*/S*/T**/V*/W*/X*;Kota Banjarmasin
DA;Kalimantan Selatan;B**/Q*;Kabupaten Banjar
DA;Kalimantan Selatan;D**;Kabupaten Hulu Sungai Selatan
DA;Kalimantan Selatan;E**;Kabupaten Hulu Sungai Tengah
DA;Kalimantan Selatan;F**;Kabupaten Hulu Sungai Utara
DA;Kalimantan Selatan;G**;Kabupaten Kota Baru
DA;Kalimantan Selatan;H**/U*;Kabupaten Tabalong
DA;Kalimantan Selatan;K**;Kabupaten Tapin
DA;Kalimantan Selatan;L**;Kabupaten Tanah Laut
DA;Kalimantan Selatan;M**;Kabupaten Barito Kuala
DA;Kalimantan Selatan;P**/R*;Kota Banjarbaru
DA;Kalimantan Selatan;Y*;Kabupaten Balangan
DA;Kalimantan Selatan;Z**;Kabupaten Tanah Bumbu
;;;
KB;Kalimantan Barat;A*/Q*/S*/W*;Kota Pontianak
KB;Kalimantan Barat;B*;Kabupaten Mempawah
KB;Kalimantan Barat;C*;Kota Singkawang
KB;Kalimantan Barat;D*;Kabupaten Sanggau
KB;Kalimantan Barat;E*;Kabupaten Sintang
KB;Kalimantan Barat;F*;Kabupaten Kapuas Hulu
KB;Kalimantan Barat;G*;Kabupaten Ketapang
KB;Kalimantan Barat;H*;Kabupaten Melawi
KB;Kalimantan Barat;K*;Kabupaten Bengkayang
KB;Kalimantan Barat;L*;Kabupaten Landak
KB;Kalimantan Barat;M*;Kabupaten Kubu Raya
KB;Kalimantan Barat;P*;Kabupaten Sambas
KB;Kalimantan Barat;V*;Kabupaten Sekadau
KB;Kalimantan Barat;Z*;Kabupaten Kayong Utara
;;;
KH;Kalimantan Tengah;A*/T*/Y*;Kota Palangkaraya
KH;Kalimantan Tengah;B*/C*;Kabupaten Kapuas
KH;Kalimantan Tengah;D*;Kabupaten Barito Selatan
KH;Kalimantan Tengah;E*;Kabupaten Barito Utara
KH;Kalimantan Tengah;F*/L*/W*;Kabupaten Kotawaringin Timur
KH;Kalimantan Tengah;G*/V*;Kabupaten Kotawaringin Barat
KH;Kalimantan Tengah;H*;Kabupaten Gunung Mas
KH;Kalimantan Tengah;J*;Kabupaten Pulang Pisau
KH;Kalimantan Tengah;K*;Kabupaten Barito Timur
KH;Kalimantan Tengah;M*;Kabupaten Murung Raya
KH;Kalimantan Tengah;N*/U*;Kabupaten Katingan
KH;Kalimantan Tengah;P*;Kabupaten Seruyan
KH;Kalimantan Tengah;R*;Kabupaten Lamandau
KH;Kalimantan Tengah;S*;Kabupaten Sukamara
;;;
